uf_sigla;cid;lat;lng
PB;SECRETARIA DE ESTADO DA RECEITA;;
PB;SECRETARIA DE ESTADO DA SAUDE;;
PB;SECRETARIA DE ESTADO DA SEGURANCA E DA DEFESA SOCIAL;;
PB;SECRETARIA DE ESTADO DAS FINANCAS;;
PB;SECRETARIA DE ESTADO DO DESENVOLVIMENTO HUMANO;;
PB;SECRETARIA DE ESTADO DO PLANEJAMENTO E GESTAO;;
PB;SUP. DE OBRAS DO PLANO DE DESENVOLVIMENTO DO ESTADO;;
PB;SUPERINTENDENCIA DE ADMINISTRACAO DO MEIO AMBIENTE;;
PB;TRIBUNAL DE CONTAS;-713032;-3487025
PB;UNIVERSIDADE ESTADUAL DA PARAIBA;;
