uf_sigla;cid;lat;lng
PB;LOTERIA DO ESTADO DA PARAIBA;-7.11706;-34.88697
PB;MINISTERIO PUBLICO;-7.11983;-34.86445
PB;PARAIBA PREVIDENCIA - PBPREV;-7.11825;-34.86567
PB;PB-TUR HOTEIS S/A;-7.10632;-34.82811
PB;POLICIA MILITAR DO ESTADO;-7.13461;-34.82046
PB;PROJETO COOPERAR DO ESTADO DA PARAIBA;-7.14602;-34.8506
PB;RADIO TABAJARA - SUPERINTENDENCIA DE RADIODIFUSAO;-7.11537;-34.88378
PB;SEC DE EST DO MEIO AMB DOS REC HID DA CIEN E TECNOLOGIA;-7.1241;-34.87621
PB;SEC DE ESTADO DA MULHER E DA DIVERSIDADE HUMANA;-7.1241;-34.87621
PB;SEC DE ESTADO DO DESENV DA AGROPECUARIA E DA PESCA;-7.1241;-34.87621
PB;SEC DE ESTADO DO TURISMO E DO DESENVOLVIMENTO ECONOMICO;-7.1241;-34.87621
PB;SECRETAR DE ESTADO DA INTERIORIZACAO DA ACAO DO GOVERNO;-7.1241;-34.87621
PB;SECRETARIA DE ESTADO DA ADMINISTRACAO;-7.1241;-34.87621
PB;SECRETARIA DE ESTADO DA ADMINISTRACAO PENITENCIARIA;-7.1241;-34.87621
PB;SECRETARIA DE ESTADO DA COMUNICACAO INSTITUCIONAL;-7.1241;-34.87621
PB;SECRETARIA DE ESTADO DA CULTURA;-7.1241;-34.87621
PB;SECRETARIA DE ESTADO DA EDUCACAO;-7.1241;-34.87621
PB;SECRETARIA DE ESTADO DA INFRA-ESTRUTURA;-7.1241;-34.87621
PB;SECRETARIA DE ESTADO DA JUVENTUDE, ESPORTE E LAZER;-7.1241;-34.87621
PB;SECRETARIA DE ESTADO DA RECEITA;-7.1241;-34.87621
PB;SECRETARIA DE ESTADO DA SAUDE;-7.1241;-34.87621
PB;SECRETARIA DE ESTADO DA SEGURANCA E DA DEFESA SOCIAL;-7.1241;-34.87621
PB;SECRETARIA DE ESTADO DAS FINANCAS;-7.1241;-34.87621
PB;SECRETARIA DE ESTADO DO DESENVOLVIMENTO HUMANO;-7.1241;-34.87621
PB;SECRETARIA DE ESTADO DO PLANEJAMENTO E GESTAO;-7.1241;-34.87621
PB;SUP. DE OBRAS DO PLANO DE DESENVOLVIMENTO DO ESTADO;-7.1241;-34.87621
PB;SUPERINTENDENCIA DE ADMINISTRACAO DO MEIO AMBIENTE;-7.1241;-34.87621
PB;TRIBUNAL DE CONTAS;-7.13032;-34.87025
PB;UNIVERSIDADE ESTADUAL DA PARAIBA;-7.15854;-34.87308
